Dataset,K,Algorithm,Seed,Fitness,Distance,Infeasibility,Evaluations,Time
data/glass_set,15,ILS,1000,0.215788,0.18401,48,100000,5.8026
data/glass_set,15,ILS,1001,0.209526,0.185692,36,100000,5.79232
data/glass_set,15,ILS,1002,0.219841,0.192697,41,100000,5.80065
data/glass_set,15,ILS,1003,0.214972,0.194449,31,100000,5.7967
data/glass_set,15,ILS,1004,0.218234,0.179836,58,100000,5.79871
data/glass_set,15,ILS,1005,0.214938,0.184484,46,100000,5.7913
data/glass_set,15,ILS,1006,0.212438,0.181322,47,97914,5.66693
data/glass_set,15,ILS,1007,0.211221,0.178119,50,100000,5.79076
data/glass_set,15,ILS,1008,0.211158,0.186001,38,100000,5.78603
data/glass_set,15,ILS,1009,0.210621,0.185464,38,99307,5.74766
data/glass_set,15,ILS-ES,1000,0.260734,0.216378,67,100000,5.74353
data/glass_set,15,ILS-ES,1001,0.254247,0.205256,74,100000,5.76097
data/glass_set,15,ILS-ES,1002,0.254309,0.211938,64,100000,5.74453
data/glass_set,15,ILS-ES,1003,0.256794,0.209127,72,100000,5.83948
data/glass_set,15,ILS-ES,1004,0.24863,0.198977,75,100000,5.77419
data/glass_set,15,ILS-ES,1005,0.253119,0.207438,69,100000,5.88008
data/glass_set,15,ILS-ES,1006,0.253999,0.202361,78,100000,5.76078
data/glass_set,15,ILS-ES,1007,0.254837,0.20386,77,100000,5.74258
data/glass_set,15,ILS-ES,1008,0.257782,0.210115,72,100000,5.77939
data/glass_set,15,ILS-ES,1009,0.25714,0.208149,74,100000,5.73903
data/glass_set,15,GRASP,1000,0.215702,0.184586,47,100000,5.81761
data/glass_set,15,GRASP,1001,0.218939,0.184513,52,100000,5.79981
data/glass_set,15,GRASP,1002,0.220132,0.184382,54,100000,5.79816
data/glass_set,15,GRASP,1003,0.21789,0.18545,49,100000,5.79713
data/glass_set,15,GRASP,1004,0.216975,0.188507,43,100000,5.80797
data/glass_set,15,GRASP,1005,0.222192,0.19571,40,100000,5.79909
data/glass_set,15,GRASP,1006,0.219758,0.189305,46,100000,5.79662
data/glass_set,15,GRASP,1007,0.219506,0.191701,42,100000,5.79837
